"tag","coreID","sp","1838","1839","1840","1841","1842","1843","1844","1845","1846","1847","1848","1849","1850","1851","1852","1853","1854","1855","1856","1857","1858","1859","1860","1861","1862","1863","1864","1865","1866","1867","1868","1869","1870","1871","1872","1873","1874","1875","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
132018,"132018A","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.017,0.83,0.49,0.727,1.042,0.848,1.229,2.034,1.209,0.832,1.203,1.013,0.98,1.122,0.568,1.49,1.073,1.295,2.46,1.95,2.178,1.423,1.96,2.444,2.538,1.767,2.534,2.801,2.783,2.557,2.249,3.862,3.514,3.131,2.573,1.677,2.13,1.887,2.449,2.013,2.591,3.707,3.439,2.965,2.948,2.549,1.982,1.887,1.881,1.962,1.564,2.724,2.109,0.972,1.735,1.199,1.25,0.927,1.022,1.733,1.349,1.872,1.691,1.928,1.337,1.456,1.645,2.091,1.069,1.766,1.428,0.893,1.052,1.356,1.411,1.353,1.567,1.751,0.989,1.693,1.911,2.263,1.285,1.42,1.856,1.157,1.274,1.111,1.005,2.017,1.184,1.534,1.56,1.701,0.509,0.268,0.382,0.472,0.531,0.528,0.844,0.408,0.499,0.588,0.541,0.541,0.422,NA,NA
132018,"132018B","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.575,0.498,0.31,0.272,0.29,0.245,0.483,0.94,1.119,0.748,0.997,1.183,1.235,0.86,0.926,0.729,0.674,1.051,1.02,1.373,2.233,1.131,0.823,1.316,1.034,1.134,1.287,0.615,1.603,1.234,1.406,2.412,1.767,2.401,1.64,2.592,2.438,2.724,1.285,2.221,2.825,3.524,3.873,2.631,4.112,4.879,5.488,3.619,3.415,3.898,2.319,2.741,3.276,4.216,5.704,5.39,4.028,3.281,2.911,2.895,2.686,1.94,2.304,2.001,3.711,2.315,1.109,1.53,1.002,1.211,0.842,1.402,1.661,1.14,1.357,1.17,1.442,1.055,1.37,1.509,2.18,1.047,1.731,1.207,0.75,0.853,0.938,0.942,0.858,0.832,1.122,0.889,0.961,1.056,1.513,1.119,1.164,1.927,0.901,1.291,0.854,0.843,1.498,1.089,1.32,1.02,1.084,0.774,0.537,0.63,0.485,0.374,0.42,0.46,0.36,0.243,0.366,0.424,0.35,0.266,NA,NA
142210,"142210A","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.811,0.996,1.065,0.749,0.761,0.541,0.586,0.507,0.308,0.536,0.424,0.34,0.502,0.378,0.41,0.627,0.627,0.366,0.284,0.303,0.309,0.242,0.234,0.918,0.58,0.824,0.926,0.642,0.547,0.567,0.642,0.529,0.47,0.45,0.735,0.542,0.567,0.854,0.718,0.65,0.64,1.066,0.88,0.499,0.495,0.592,0.661,0.713,0.343,0.935,1.351,0.95,0.477,0.555,0.728,0.941,0.667,0.898,0.534,0.724,0.325,0.338,0.203,0.21,0.2,0.173,0.205,0.219,0.202,0.252,0.407,0.177,0.298,0.294,0.193,0.204,NA,NA
142210,"142210B","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.678,0.385,0.803,0.106,0.09,0.235,0.641,0.224,0.147,0.259,0.582,0.658,0.861,0.586,0.597,0.635,0.3,0.725,0.376,0.52,0.52,0.439,0.465,0.603,0.643,0.314,0.275,0.319,0.293,0.293,0.283,0.888,0.621,0.883,1.104,0.712,0.734,0.853,0.736,0.689,0.267,0.62,1.047,0.567,0.732,0.918,0.924,0.792,0.739,1.398,1.088,0.509,0.643,0.754,0.719,0.899,0.446,1.298,1.713,0.391,0.456,0.921,1.076,0.805,0.826,0.456,0.532,0.243,0.159,0.255,0.155,0.147,0.172,NA,NA,NA,NA,NA,NA,NA,NA
142220,"142220","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.303,1.07,0.969,0.523,0.882,0.604,0.584,0.522,0.923,0.506,0.406,0.505,0.509,0.464,0.486,0.266,0.138,0.175,0.099,0.144,0.196,0.38,0.29,0.388,0.327,0.323,0.387,0.265,0.294,0.387,0.272,0.566,0.482,0.535,0.51,0.416,0.418,0.364,0.3,0.338,0.43,0.385,0.389,0.312,0.295,0.795,1.001,1.052,1.13,1.127,0.675,0.568,0.732,0.534,0.552,0.62,0.613,0.329,0.356,0.508,0.417,0.655,0.703,0.66,0.553,0.539,0.571,0.513,0.354,0.688,0.35,0.55,0.611,0.522,0.481,0.384,0.384,0.314,0.233,0.679,0.713,0.668,0.397,0.336,0.481,0.27,0.326,0.295,0.4,0.254,0.283,0.441,0.719,0.888,1.003,1.631,1.401,0.751,2.468,2.62,1.822,NA,NA,NA,NA,NA,NA,NA,NA
151006,"151006A","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.459,1.541,1.328,1.27,1.323,0.981,0.955,0.668,0.907,1.474,1.759,0.986,0.988,0.974,0.785,1.531,1.147,1.282,1.059,0.979,0.716,0.392,0.963,1.11,0.649,0.587,0.618,0.76,0.452,0.464,0.633,1.124,1.092,1.082,1.101,1.535,1.018,1.124,1.356,1.259,1.069,0.824,0.767,0.467,1.212,1.197,0.931,1.329,0.865,0.798,0.705,0.558,0.688,0.697,0.574,0.663,0.406,0.402,0.657,0.677,0.678,0.535,0.582,0.77,0.657,0.628,0.79,0.969,0.484,0.554,0.557,0.413,0.359,0,0,0,0.605,0.4,0.3,0.451,0.236,0.231,NA,NA
152118,"152118A","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.472,2.656,1.049,0.958,1.067,0.758,1.376,0.913,0.957,0.68,0.875,0.994,0.838,1.382,1.197,1.124,1.027,0.87,0.701,1.374,0.291,0.417,0.735,1.302,0.954,0.842,1.411,1.551,0.755,1.052,1.398,1.584,1.19,1.624,0.45,0.407,0.387,0.528,0.574,0.292,0.362,0.216,0.191,0.226,0.197,0.194
152118,"152118B","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.621,1.785,2.683,2.039,1.183,1.899,1.003,1.008,1.77,0.349,0.435,0.63,1.354,1.202,1.367,1.877,1.488,0.693,1.053,1.232,1.491,0.605,0.528,0.554,0.483,0.46,0.433,0.342,0.421,0.294,0.414,0.327,0.293,0.162,0.202,0.18,0.185,0.142
152151,"152151A","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.669,0.309,0.358,0.416,0.357,0.577,0.526,0.32,0.299,0.179,0.204,0.51,0.593,0.788,0.473,0.516,0.294,0.454,0.866,0.564,1.143,0.724,0.779,1.068,1.016,1.225,0.807,0.788,0.929,1.036,0.915,1.131,0.888,0.909,1.068,0.55,1.3,1.354,1.379,1.427,1.055,1.4,1.565,1.374,1.396,1.034,1.127,1.031,0.904,1.079,1.739,2.488,3.098,2.697,2.745,2.125,2.843,2.941,2.258,1.813,1.575,2.22,1.198,1.687,1.946,1.98,2.08,1.567,2.066,1.644,1.84,1.472,1.518,1.426,1.665,1.317,1.644,1.989,1.698,1.4,1.304,1.158,1.052,0.919,1.488,2.192,1.596,1.075,1.318,1.59,1.397,1.548,1.311,1.24,1.337,0.962,1.16,1.276,0.807,2.334,1.31,1.12,0.568,0.484,0.549,0.381,0.44,0.437,0.428,0.595,NA,NA,NA,NA
152151,"152151B","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.104,2.716,2.741,2.124,2.357,1.489,2.464,2.343,2.384,2.2,1.494,1.678,1.553,1.406,1.498,2.657,3.502,4.57,3.816,4.267,3.328,4.62,4.166,2.759,3.235,3.119,3.346,4.975,2.283,2.292,4.468,3.253,4.764,3.403,2.903,2.144,1.745,1.345,1.649,1.236,1.768,2.099,1.806,1.518,1.396,1.169,1.137,0.902,1.632,1.617,1.442,1.268,1.363,1.538,1.342,1.817,1.369,1.518,1.893,1.237,1.53,1.281,0.895,1.31,1.511,1.194,0.93,0.717,0.634,0.686,0.802,1.162,1.077,0.592,0.684,NA,NA,NA,NA,NA
160989,"160989A","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.357,0.434,0.353,0.336,0.229,0.229,0.379,0.363,0.489,0.309,0.538,0.505,0.511,0.996,1.211,0.747,0.754,0.654,0.665,0.792,0.754,0.459,0.61,0.346,0.435,0.586,0.679,0.557,0.535,1.182,1.311,1.494,1.552,1.296,1.301,1.079,0.918,0.778,0.696,0.491,0.671,0.572,0.644,0.458,0.972,0.773,0.722,0.621,0.479,0.726,0.502,0.714,0.807,0.784,0.852,0.574,0.496,0.891,0.572,0.692,0.438,0.568,0.766,0.455,1.219,0.895,0.402,0.527,0.473,0.481,0.438,0.34,0.445,0.298,0.235,0.221,0.259,0.248,0.277,0.213,0.266,0.52,0.747,0.373,0.377,0.376,0.313,0.438,0.732,0.833,0.668,1.034,0.757,0.523,0.687,0.688,0.728,0.636,NA,NA,NA,NA,NA,NA,NA,NA,NA
160989,"160989B","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.083,1.458,0.705,0.82,0.912,0.981,0.765,0.85,0.32,0.64,0.785,1.105,0.829,0.579,1.536,1.851,2.141,2.16,1.928,1.612,1.774,1.142,0.854,0.748,0.506,0.821,0.607,0.744,0.594,1.249,0.898,0.833,0.85,0.632,1.229,0.671,1.22,1.479,1.152,1.715,1.037,0.834,1.132,0.722,0.673,0.855,0.967,1.115,0.702,1.611,0.899,0.388,0.566,0.503,0.478,0.216,0.297,0.277,0.234,0.247,0.462,0.386,0.237,0.585,0.421,0.48,0.476,0.891,1.119,1.087,0.981,1.379,1.011,0.691,1.242,1.065,0.71,1.088,1.333,NA,NA,NA
162252,"162252A","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.485,0.135,0.182,0.172,0.168,0.111,0.304,0.358,0.408,0.576,0.366,0.292,0.256,0.251,0.352,0.415,0.338,0.353,0.335,0.554,0.424,0.702,0.495,0.531,0.232,0.176,0.114,0.161,0.155,0.152,0.13,0.17,0.762,1.023,1.195,2.851,3.965,4.237,3.96,3.046,3.132,2.323,2.15,1.726,0.862,0.628,0.695,0.6,0.393,0.447,0.468,0.368,0.18,NA,NA
162252,"162252B","caco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.562,0.695,0.311,0.457,0.213,0.201,0.181,0.22,0.308,0.31,0.615,0.299,0.391,0.207,0.281,0.205,0.249,0.248,0.251,0.545,0.362,0.792,0.594,0.835,0.244,0.3,0.23,0.158,0.257,0.233,0.144,0.387,0.964,2.266,2.891,5.223,5.861,5.114,4.899,4.956,4.164,5.017,1.827,1.74,0.75,0.883,0.939,0.948,0.676,0.422,0.346,0.479,NA,NA,NA,NA,NA,NA
