quadrat,acne,acpl,acru,acsp,aial,amar,astr,beth,caca,caco,cade,cagl,caovl,casp,cato,ceca,ceoc,chvi,coal,coam,cofl,crpr,crsp,divi,elum,fagr,fram,frni,frpe,frsp,havi,ilve,juci,juni,libe,litu,loma,nysy,pato,pipu,pist,pivi,ploc,prav,prpe,prse,qual,quco,qufa,qumi,qumu,qupr,quru,qusp,quve,romu,rops,rual,rupe,ruph,saal,saca,tiam,ulam,ulru,ulsp,unk,vipr,vire
216,,,1,,,4,,,2,,,2,4,1,3,,,,,,1,,,,,9,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,9,,,6,,,9,,,,,,3,,,,,5,,,,,,,,,,4,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,1,,,,
218,,,1,,,,,,12,,,2,2,,4,,,,,,,,,,,3,,,,,1,,,,1,2,,1,,,,,,,,,,,,,,4,,,,,,,,,,,3,,1,,,,
219,,,1,,,2,,,4,,,2,3,,,,,,,,,,,,,1,,,,,5,,,,1,1,,5,,,,,,,,,,,,,,4,1,,,,,,,,,,1,,2,,,,
220,,,1,,,,,,3,1,,2,,,2,,,,,,2,,,,,,,,,,2,,,1,,1,,2,,,,,,,,,1,,,,,,,,1,,,,,,,,5,,1,,,,
221,,,,,,,,,11,,,1,,,,,,,,,,,,,,,,1,,,1,,,,1,2,,2,,,,,,,,,1,,,,,,,,1,,,,,,,,8,,2,,,2,
222,,,1,,,,,,20,,,,1,,,,,,,,,,,,,,2,1,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,5,2,2,,,1,
223,,,2,,,,8,,9,,,,,,,,,,,,1,,,,,,5,,2,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,2,
224,,,2,,,,,,15,,,1,,,,,,,,,1,,,,,,1,,,,3,,,,3,2,,3,,,,,,1,,,,,,,,,,,,,,,,,,,6,,,,,1,
225,,,1,,,,,,8,1,,1,1,,2,1,,,,,2,,,,,,1,1,1,,,,,,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,3,
226,,,2,,,,,,8,1,1,3,2,,5,2,1,,,,2,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,
227,,,1,,,,,,5,,1,1,2,,5,2,,,,,5,,,,,,1,,,,3,,,,,6,,1,,,,,,,,,1,,,,,,,1,3,,,,,,,,,,,,,,
228,,,1,,,,,,1,1,,1,1,,29,,,,,,,,,,,,,,,,2,,,,,14,,2,,,,,,,,,,,,,,,1,,2,,,,,,2,,,,,,,1,
229,,,,,,,11,,,,,2,3,1,22,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
230,,,,,,,1,,,,,5,6,,18,,,,,,2,,,,,,,,,,,,,,1,8,,1,,,,,,1,,,,,,,,2,,,,,,,,,,,1,,,1,,,
231,,,1,,,,,,2,,,,2,,6,,,,,,,,,,,,,,,,,,,1,,14,,4,,,,,,,,,,,,,,3,1,,,,,,,,,,,1,,,,,
232,,,,,,,,,,,,7,1,,7,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,
301,,,,,,,,,,,,,,,,,1,,,,,,,,1,,3,,,,,,,1,34,1,1,,,,,,,,,,,,,,,,1,,,2,,,,1,,,,,,3,,,
302,,,,,,,,,4,5,,,,,,,2,,,,2,,,,,,2,4,,,,,,1,9,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
303,,,1,,,1,1,,5,5,,,,,1,1,,,,,,,,,,,5,,,,3,,,,16,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,1,
304,,,1,,1,8,2,,,1,,5,,2,2,,1,,,,1,,,,,2,2,,,,18,,,1,2,,,,,,,,,,,,5,,,,,6,4,,,,,,,,,,,,,1,,,
305,,,,,,,,,,2,,,4,1,,1,,,,,1,,,,,3,2,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
306,,,,,,,,,1,1,,1,,,,2,1,,,,,,,,,5,1,,,,1,,,4,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,3,
307,,,,,,,,,5,3,,,,,,1,1,,,,,,,,,,1,,,,2,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,2,,,
308,,,1,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,1,,,,6,2,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,3,,,,
309,,,,,,,1,,8,1,,,,,,,,,,,2,,,,,,1,,,,,,,,2,4,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,1,,
310,,,,,,,16,,7,1,,,,,,,,,,,,,,,,8,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
311,,,1,,,,1,,4,,,,,,,,,,,,1,,,,,10,1,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,,,,,,,3,,7,1,,,,,,,,,,,,,,,,1,5,,,,,,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,,1,
313,,,5,,,,12,,1,,,1,,,1,,,,,,,,,,,7,,,,,,,,,2,3,,1,,,,,,,,,1,,,,,,2,,,,,,,,,,,2,2,,,1,
314,,,1,,,,,,,1,,,,,,,,,,,,,,,,29,1,1,,,,,,,,4,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,
315,,1,,,,,,,4,,,4,2,,2,,,,,,,,,,,25,,,,,,,,,,,,4,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,
316,,,,,,,,,8,,,4,,,8,1,,,,,,,,,,8,1,,,,,,,,2,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,2,,,1,,,
317,,,4,,,1,,,7,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,
318,,,1,,,,,,7,,,,,,,,1,,,,,,,,,2,2,1,1,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,,
319,,,,,,1,,,11,,,1,2,,2,,,,,,,,,,,2,1,1,,,2,,,,,,,4,,,,,,,,,,,,,,5,1,,1,,,,,,,,1,,1,,,,
320,,,,,,,8,,10,3,,,,,,1,,,,,,,,,,,3,1,,,1,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
321,,,,,,,2,,19,,,2,1,,1,1,,,,,1,,,,,,,,,,3,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,
322,,,,,,1,3,,8,,,2,,,2,,,,,,1,,,,,,1,,,,4,,,,,3,,2,,,,,,,,,,,,,,,1,,1,,,,,,1,,7,,,1,,,
323,,,,,,,16,,12,,,1,1,,5,1,,,,,1,,,1,,,,,1,,2,,,,,4,,5,,,,,,,,,1,,,,,,1,,,,,,,,,,2,1,,,,,
324,,,,,,,,,27,,,1,3,,1,,,,,,,,,,,,,,1,,1,,,,,6,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
325,,,,,,,,,10,,,5,3,,7,,,,,,1,,,,,,,,1,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,,,,,,1,,,,,,4,2,,9,5,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,
327,,,,,,1,,,,,,2,2,,12,,,,,,1,,1,,,,,,1,,,,,,,2,,,,,,,,,,,1,,,,,1,,,2,,,,,,,,,,,,,,
328,,,,,,,,,,,,2,2,,7,,,,,,1,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,
329,,,,,,,4,,1,,,6,,,12,,,,,,,,,,,,,,1,,,,,,1,5,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,1,,,,
330,,,1,,,,1,,,,,1,3,,15,3,,,,,,,,,,,,,,,,,,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
331,,,1,,,,,,,,,3,,,6,,,,,,,,,,,,,,,,,,,,,9,,3,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
332,,,,,,,,,1,,,2,2,,5,,,,,,,,,,,,,,,,,,,,,13,,3,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,
401,,,,,,,2,,,1,,,,,,,,,,,,,,,,,5,,,,,,,3,48,,,,,,,,1,,,1,,,,,,,1,,,3,,,,,,,,,,,,,
402,1,,,,,,,,,4,,,,,,3,,,,,,,,,,,3,1,1,1,,,,,7,2,,,,,,,,,,,,,,,,,4,,1,,,,,,,,1,,,,,,
403,,,,,,8,,,3,,,2,,,,8,,,,,,,,,,,1,,,,3,,,,1,2,,1,,,,,,1,,,,,,,,8,1,,,,,,,,,,,,8,,,3,
404,1,,,,,18,,,1,,,15,4,,1,,,,,,,,,,,2,,1,,,1,,,,1,,,,,,,,,,,,,,,1,,5,,,,,,,,,2,,,1,,,1,,
405,,,,,,6,,,3,,,10,1,,3,,,,,,1,,,,,12,,,,,1,,,,,1,,1,,,,,,,,,,,,,,3,2,,1,,,,,,,,,,,,,,
406,,,,,,,,,3,,,8,2,,3,,,,,,,,,,,12,,,,,5,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
407,,,,,,2,,,10,,,3,,,2,,,,,,1,,,,,3,,,,,3,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,
408,,,,,,,,,4,,,,,,1,,,,,,,,,,,2,,,,,,,,,1,3,,,,,,,,,,,,,,,,1,2,,1,,,,,,,,,,3,2,,,
409,,,,,,,5,,6,2,,2,,1,,2,,,,,1,,,,,,1,1,,,4,,,,7,,,,,,,,,,,,1,,,,,,3,,,1,,,,,,,,,,2,1,,
410,,,,,,,118,,10,,,,,1,,,,,,,,,1,,,,2,,,,1,,,,4,5,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,2,1,,,
411,,,1,,,,28,,1,,,,,,1,,,,,,,,,,,,1,1,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
412,,,1,,,,6,,4,,,,,,,,,1,,,,,,,,1,,,,,3,,,,,1,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,3,,,,
413,,,1,,,,,,9,,,1,,,,,,,,,,,,,,3,2,1,,,1,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,
414,,,4,,,,,,10,1,,,,,,,,,,,,,,,,3,1,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
415,,,1,,,,,,14,3,,,1,,,1,,1,,,,,,,,3,1,,,,,,,,4,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,2,,,,
416,,,,,,,,,14,,,,,,,,,,,,,,,,,2,2,2,,,1,,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,1,,
417,,,2,,,,,,13,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,3,,,,,,,,,,1,,,,,,,,,,1,1,,,,,
418,,,1,,,,,,9,,,,,,,,,,,,,,,,,,1,1,,,2,,,,2,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,5,,,
419,,,,,,,,,4,1,,,,,,,,,,,,,,,,1,1,,,,2,,,1,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,,,
420,,,,,,,,,1,1,,1,,,4,,,1,,,,,,,,1,1,,,,3,,,,1,5,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,1,,,,
421,,,1,,,,,,4,,,2,1,,6,4,,,,,7,,,,,1,1,,,,4,,,,,1,,3,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,
422,,,3,,,,,,6,1,,8,1,,7,,,,,,1,,,,,,,,,,,,,,,3,,4,,,,,,,,,1,,,,,1,,,2,,,,,,1,,,,1,,,1,
423,,,,,,,,,9,,,3,3,,2,,,,,,,,,,,,,,,,,,,,,10,,3,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,
424,,,,,,,2,,13,,,2,1,,1,,,,,,3,,,,,,,,,,,,,,,11,,2,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
425,,,,,,,,,3,,,1,,,4,1,,,,,2,,,,,,,,,,,,,,,14,,2,,,,,,,,,,,,,,,1,,3,,,,,,,,1,,,,,,
426,,,1,,,,,,1,2,,6,,,9,,,,,,2,,,,,,,,,,,,,,,10,,1,,,,,,,,,4,,,,,,2,,,,,,,,,,,,,,,1,
427,,,2,,,,,,,,,9,1,,7,,,,,,2,,,,,1,,,,,,,,,,4,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,
428,,,,,,,,,,,,2,3,,3,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,
429,,,,,,,,,,,,1,2,,7,,,,,,1,,,,,,,,,,,,,1,,6,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,
430,,,1,,,1,,,,,,2,2,,3,,,,,,1,,,,,,,,,,,,,,,4,,4,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,
431,,,1,,,,2,,,,,2,3,,3,,,,,,2,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
432,,,,,,,,,,,,2,6,,8,1,,,,,,,,,,2,,,,,,,,,,8,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
501,,,1,,,,,,,,,,,,2,2,,,,,,,,,,,5,,,,,,,,23,1,,1,,,,,1,,,,1,,,,,,3,,1,,,,,2,,,,,1,1,,,
502,,,1,,,2,,,,3,,,,,2,3,,1,,,3,,,,,1,3,,,,,,,,1,3,,1,,,,,,1,,,,,,,,1,2,,1,,,,,,,,,,,,1,,
503,,,,,,4,,,1,1,,6,3,,2,1,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,2,,1,2,,,,,1,,,,,,,,,,,,1,,,,2,
504,,,,,,10,,,1,,,12,2,,5,2,,,,,7,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,3,,3,,,,,,5,,,,1,,,,1
505,,,,,,3,,,6,,,9,2,,3,,,,,,5,,,,,4,,,,,3,,,,,3,,,,,,,,,,,2,,,,,2,2,,,,,,,,1,,,,,,,,
506,,,,,,1,,,2,,,4,1,1,1,,,,,,1,,,,,10,,,,,5,,,,,8,,3,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,
507,,,1,,,,,,9,,,3,3,,1,,,,,,,,,,,3,,,,,5,,,,,11,,3,,,,,,,,,2,,,,,3,1,,,,,,,,,,,,,,,,
508,,,1,,,2,,,8,,,3,,,3,,,,,,3,,,,,1,1,,,,,,,,,,,4,,,,,,,,,1,,,,,2,,,2,,,,,,,,,,,2,,,
509,,,,,3,1,,,7,1,,,,1,1,,,,,,1,,,,,,1,,,,6,,,1,1,4,,2,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,
510,,,,,,,,,2,3,,,,,,1,,,,,1,,,,,,1,,,,3,,,,1,7,,1,,,,,,,,,,,,,,1,2,,,,,,,,,,,,1,1,1,,
