treeid,stemid,tag,stemtag,quadratname,lx,ly,px,py
20644,34960,150017,2,1501,10.6,1.6,290.60001,1.6
20645,34961,150018,2,1501,10.2,0.8,290.20001,0.8
20646,34962,150019,2,1501,9.5,1.8,289.5,1.8
20651,34963,150024,2,1501,10.1,3.8,290.10001,3.8
20652,34964,150025,2,1501,11.7,4.3,291.70001,4.3
20653,34965,150028,2,1501,15.7,2.9,295.70001,2.9
20658,34966,150034,2,1501,17.4,5,297.39999,5
20665,34967,150041,2,1501,16,6.5,296,6.5
20670,34968,150046,2,1501,11.5,5.3,291.5,5.3
20675,34969,150052,2,1501,12.4,6.9,292.39999,6.9
20676,34970,150053,2,1501,13.3,6.3,293.29999,6.3
20678,34971,150055,2,1501,12.2,6.4,292.20001,6.4
20684,34972,150061,2,1501,14.5,8.6,294.5,8.6
20697,34973,150076,2,1501,19.3,12.9,299.29999,12.9
20702,34974,150081,2,1501,16.4,15.1,296.39999,15.1
20703,34975,150082,2,1501,16.2,14.1,296.20001,14.1
20704,34976,150083,2,1501,15.5,15.8,295.5,15.8
20707,34977,150087,2,1501,18.7,16.3,298.70001,16.3
20713,34978,150099,2,1501,16.3,18.3,296.29999,18.3
20726,34979,150113,2,1501,14.7,18,294.70001,18
20730,34980,150118,2,1501,14.7,16.1,294.70001,16.1
20731,34981,150119,2,1501,13.7,16.2,293.70001,16.2
20733,34982,150121,2,1501,11.9,15.9,291.89999,15.9
20737,34983,150125,2,1501,12.3,19.2,292.29999,19.2
20740,34984,150128,2,1501,11.1,20,291.10001,20
20745,34985,150134,2,1502,5.6,1.5,285.60001,21.5
20761,34986,150152,2,1502,6.9,3.8,286.89999,23.8
20762,34987,150153,2,1502,7,3.3,287,23.3
20768,34988,150159,2,1502,10,4,290,24
20790,34989,150182,2,1502,8.3,10.4,288.29999,30.4
20798,34990,150190,2,1502,7,12.7,287,32.7
20805,34991,150197,2,1502,3.9,9.9,283.89999,29.9
20815,34992,150207,2,1501,2,2.7,282,2.7
20816,34993,150208,2,1501,2.1,2,282.10001,2
20818,34994,150210,2,1501,2,0.6,282,0.6
20821,34995,150213,2,1501,2.4,2.3,282.39999,2.3
20822,34996,150214,2,1501,3.8,2.5,283.79999,2.5
20823,34997,150215,2,1501,4.5,2.6,284.5,2.6
20824,34998,150216,2,1501,5.3,0.1,285.29999,0.1
20827,34999,150219,2,1501,3.5,3.2,283.5,3.2
20832,35000,150225,2,1501,4.1,2.5,284.10001,2.5
20833,35001,150226,2,1501,6.4,0.1,286.39999,0.1
