Tag,Quadrat,DBH.2008.mm,Latin,box.number,clarity.of.sapwood.boundary,sapwood.depth.mm,sapwood.depth.uncertainty.mm,notes
60353,608,396.8,Quercus rubra,,,,,
70096,704,843.8,Quercus rubra,T9,1,28,0,
70126,705,789.4,Quercus rubra,,,,,
70407,709,672,Quercus rubra,,,,,
70421,709,575.2,Quercus rubra,T9,1,15,0,
70502,710,555.5,Quercus rubra,T9,1,11.6,0,
80233,805,713.1,Quercus rubra,T9,1,15.1,0,
80235,805,776.7,Quercus rubra,T9,1,12.2,0,
80316,806,784.2,Quercus rubra,T9,1,11.1,0,
80330,806,498.7,Quercus rubra,T9,1,17,0,
80491,809,1366.2,Quercus rubra,T9,1,25.1,0,
90510,909,239.2,Quercus rubra,T6,4,,,
90529,910,304.9,Quercus rubra,T9,1,13.6,0,
100540,1004,447.2,Quercus rubra,,,,,
100552,1004,443.4,Quercus rubra,,,,,
100558,1004,379.7,Quercus rubra,,,,,
100771,1005,876.5,Quercus rubra,T9,1,34.1,0,
101136,1012,179.8,Quercus rubra,,,,,
110331,1102,220.6,Quercus rubra,,,,,
110727,1103,197.5,Quercus rubra,,,,,
110811,1104,583.4,Quercus rubra,,,,,
110977,1106,160.7,Quercus rubra,T6,4,,,
121186,1210,207.3,Quercus rubra,,,,,
121305,1211,729.8,Quercus rubra,,,,,
121310,1211,245,Quercus rubra,,,,,
131087,1310,630.1,Quercus rubra,T9,1,17.2,0,
150890,1510,750,Quercus rubra,T9,1,22.4,0,
151021,1510,500.4,Quercus rubra,,,,,
70382,709,762.5,Quercus rubra,T9,1,17.7,0,
70382 B,709,762.5,Quercus rubra,T9,1,21.3,0,
40533,405,487.1,Quercus velutina,T10,1,21.1,0,
50404,506,237.2,Quercus velutina,T10,1,10.6,0,
70254,703,655.7,Quercus velutina,,,,,
80046,802,592.8,Quercus velutina,T10,1,10.5,0,
80056,802,459.8,Quercus velutina,T10,1,16.2,0,
80148,803,727.5,Quercus velutina,T10,1,26.1,0,
80156,803,345.1,Quercus velutina,T10,1,19.2,0,
80159,803,265.9,Quercus velutina,T10,1,8.6,0,
90084,902,1092.1,Quercus velutina,T10,3,,,
90104,902,493.9,Quercus velutina,T10,1,22.9,0,
90577,913,629.9,Quercus velutina,T10,1,15.2,0,
90631,911,162.9,Quercus velutina,T10,1,6.3,0,
90634,911,379.1,Quercus velutina,,,,,
90650,912,705.3,Quercus velutina,T10,1,22.5,0,
91493,908,319,Quercus velutina,T10,1,9.7,0,
91499,909,302.8,Quercus velutina,T10,1,16.4,0,
100551,1004,400.9,Quercus velutina,T10,1,15.8,0,
101123,1012,377.3,Quercus velutina,,,,,
110819,1105,710.2,Quercus velutina,T10,1,23.1,0,
110920,1105,777,Quercus velutina,T10,1,23.3,0,
111163,1109,493.8,Quercus velutina,,,,,
120162,1202,472.3,Quercus velutina,,,,,
121026,1206,597.2,Quercus velutina,T10,1,16.7,0,
121379,1206,682,Quercus velutina,T10,1,23.5,0,
130911,1305,370.5,Quercus velutina,T5,4,,,
130991,1307,698.1,Quercus velutina,T10,1,19.5,0,
131009,1308,736.5,Quercus velutina,T10,1,24.7,0,
140733,1407,690.5,Quercus velutina,T10,1,17.4,0,
140736,1407,618.4,Quercus velutina,T10,1,30.1,0,
140756,1408,694.9,Quercus velutina,T10,1,23.6,0,
140761,1408,620,Quercus velutina,T10,1,19.9,0,
140931,1408,373.4,Quercus velutina,,,,,
140934,1408,489.6,Quercus velutina,T10,1,16.4,0,
140935,1408,441.2,Quercus velutina,T10,4,,,Broken sample
150849,1509,561.1,Quercus velutina,,,,,
150951,1508,520.5,Quercus velutina,T10,1,17.1,0,
150957,1509,571.3,Quercus velutina,T10,1,26.5,0,
120200,1202,495.7,Robinia pseudoacacia,T5,1,6,0,Mismatched species
70279,704,150.1,Ulmus rubra,,,,,
80055,802,196.5,Ulmus rubra,,,,,
90069,902,201.7,Ulmus rubra,T6,1,11.2,0,
90118,903,244.1,Ulmus rubra,,,,,
90249,902,276.7,Ulmus rubra,T3,1,56.7,0,
100113,1002,156.5,Ulmus rubra,,,,,
100133,1002,269.8,Ulmus rubra,T6,2,78.2,11.3,
100136,1002,157.8,Ulmus rubra,,,,,
100434,1002,244.7,Ulmus rubra,,,,,
100631,1003,360.6,Ulmus rubra,,,,,
110001,1101,170.5,Ulmus rubra,,,,,
110155,1101,154.9,Ulmus rubra,T6,1,18.3,0,
110355,1102,200,Ulmus rubra,,,,,
110492,1102,176.5,Ulmus rubra,T6,1,21.7,0,
110669,1104,207.5,Ulmus rubra,,,,,
120756,1204,204.6,Ulmus rubra,T6,1,31.4,0,
120827,1204,237.3,Ulmus rubra,,,,,
110086,1101,370.9,Ulmus rubra,T8,1,63.9,0,
110086,1101,370.9,Ulmus rubra,T6,1,50.7,0,
110579,1103,224.3,Ulmus rubra,T2,4,,,
110579,1103,224.3,Ulmus rubra,T2,4,,,
10185,104,556.3,Acer rubrum,,,,,
10189,104,232.1,Acer rubrum,T4,1,68.1,0,
10488,110,293.9,Acer rubrum,T2,1,101.1,0,
12317,126,382,Acer rubrum,T4,1,146.8,0,
20151,203,200.7,Acer rubrum,T4,1,29.3,0,
20586,208,214.8,Acer rubrum,T2,3,,,
22253,224,429.9,Acer rubrum,T4,1,118.1,0,
30381,308,301.2,Acer rubrum,T2,1,115,0,
32072,317,207.6,Acer rubrum,,,,,
40942,414,385,Acer rubrum,T2,1,119.9,0,
42001,417,368.5,Acer rubrum,T4,1,154.5,0,
60449,614,156.3,Acer rubrum,T4,1,17.9,0,
60555,613,285.3,Acer rubrum,T4,4,,,
70207,701,196.9,Acer rubrum,T4,1,83.6,0,
80580,815,305.7,Acer rubrum,T2,1,99,0,
80769,816,201.1,Acer rubrum,T4,1,78.4,0,
80774,816,300.1,Acer rubrum,T4,1,62.1,0,
82347,828,171.8,Acer rubrum,T4,1,69.5,0,
92097,919,153.1,Acer rubrum,,,,,
92124,920,160,Acer rubrum,T2,1,57.2,0,
92556,932,170.2,Acer rubrum,T4,1,35.7,0,
92559,932,307.7,Acer rubrum,T2,1,39.1,0,
102124,1019,360.5,Acer rubrum,T4,1,110.5,0,
102146,1019,222.6,Acer rubrum,T4,1,101.4,0,
122009,1217,266.9,Acer rubrum,T4,1,41.7,0,
131364,1316,397.8,Acer rubrum,T4,1,118.1,0,
131366,1316,186.5,Acer rubrum,T4,3,,,
132470,1332,183,Acer rubrum,,,,,
132474,1332,230.2,Acer rubrum,T2,4,,,
132549,1332,189.1,Acer rubrum,T2,3,,,Broken sample
150913,1506,284.5,Acer rubrum,T4,1,94.2,0,
152431,1523,238.8,Acer rubrum,T4,1,42.8,0,
172594,1732,225.7,Acer rubrum,T4,1,32.3,0,
180988,1813,176.7,Acer rubrum,,,,,
10160A,103,600.1,Acer rubrum,T2,3,,,
10160B,103,607.1,Acer rubrum,T8,1,164.9,0,
10424,106,368.3,Carya cordiformis,T3,1,107,0,
20050,201,216.8,Carya cordiformis,T3,1,79.6,0,
20605,208,154.2,Carya cordiformis,T3,1,24.6,0,
20647,210,198.9,Carya cordiformis,T2,1,32,0,
20760,213,502.1,Carya cordiformis,T2,1,86.4,0,
20811,215,359.8,Carya cordiformis,T3,1,24.6,0,
30304,305,274.9,Carya cordiformis,T2,1,40.4,0,
30377,309,227.3,Carya cordiformis,T2,2,17.1,4.7,
30525,314,182.3,Carya cordiformis,T2,3,,,
40112,402,272.8,Carya cordiformis,T2,1,37.2,0,
40662,409,161.2,Carya cordiformis,T3,1,21.4,0,
40952,414,605,Carya cordiformis,T7,1,38.1,0,
60003,601,212,Carya cordiformis,T3,1,36,0,
60431,612,189.3,Carya cordiformis,T2,1,17.2,0,
60588,615,284.7,Carya cordiformis,T3,1,24.8,0,
70002,701,488.2,Carya cordiformis,T2,1,83.1,0,
70622,716,207.3,Carya cordiformis,T3,1,37.2,0,
80118,801,176.1,Carya cordiformis,T2,1,35.1,0,
90009,901,287.8,Carya cordiformis,T3,1,84.1,0,
101281,1016,213.3,Carya cordiformis,T3,2,25.8,4.6,
102130,1019,303,Carya cordiformis,,,,,
111273,1115,203.8,Carya cordiformis,T3,1,29.6,0,
111336,1116,245.2,Carya cordiformis,T3,1,20.6,0,
112310,1124,155.2,Carya cordiformis,T3,2,20.1,5.8,
121449,1215,586.1,Carya cordiformis,T3,1,57.5,0,
121463,1216,179.7,Carya cordiformis,T3,1,39.4,0,
122004,1217,457,Carya cordiformis,T3,1,37.7,0,
131275,1315,213.6,Carya cordiformis,T3,1,28.2,0,
131325,1315,367.9,Carya cordiformis,T3,1,45,0,
132010,1317,269,Carya cordiformis,T3,1,21.7,0,Mismatched species
132030,1318,375.7,Carya cordiformis,T3,1,31.3,0,
142001,1417,297.9,Carya cordiformis,T3,1,23.4,0,
142078,1419,176.3,Carya cordiformis,T3,1,38.8,0,
142181,1419,222.9,Carya cordiformis,T3,1,25.6,0,
142220,1420,290.8,Carya cordiformis,,,,,
151077,1514,161.5,Carya cordiformis,T3,1,37.1,0,
151609,1515,153.6,Carya cordiformis,T3,1,36.8,0,
161003,1613,161.7,Carya cordiformis,,,,,
161572,1616,364.7,Carya cordiformis,T3,1,32.7,0,
190704,1910,186.5,Carya cordiformis,T3,1,44.1,0,
201024,2011,222.7,Carya cordiformis,T3,1,42.7,0,
201083,2013,224.2,Carya cordiformis,T3,1,31.9,0,
20757,213,381.1,Carya glabra,T2,1,20.9,0,
22319,225,211.1,Carya glabra,T2,2,23.8,2.9,
22335,226,272,Carya glabra,T2,1,34.4,,
22388,227,315.1,Carya glabra,T7,1,24.7,0,
30571,316,265.9,Carya glabra,T3,1,41.1,0,
42383,427,204.3,Carya glabra,T3,1,69.4,0,Mismatched species
50527,512,462.5,Carya glabra,T2,3,,,
52064,519,299,Carya glabra,T3,1,55.4,0,
52250,524,590.5,Carya glabra,T2,1,166.3,0,
62162,621,181.2,Carya glabra,T2,1,48.2,0,
62190,622,196.2,Carya glabra,T3,1,58.6,0,
62234,623,187.1,Carya glabra,T2,1,22.4,0,
62315,626,190.8,Carya glabra,T3,1,42.3,0,
62376,628,355.6,Carya glabra,T3,1,32.7,0,
82060,818,351,Carya glabra,T3,1,58.7,0,
82130,820,161,Carya glabra,T3,1,65.5,0,
82173,821,330,Carya glabra,T3,1,52.4,0,
82242,824,171.6,Carya glabra,T2,3,,,
82294,826,414.9,Carya glabra,T3,1,61.8,0,
82309,826,429,Carya glabra,T2,1,52.2,0,
92204,921,357.1,Carya glabra,T3,1,71.4,0,
102335,1024,228,Carya glabra,T2,1,30,0,
102402,1027,471,Carya glabra,T3,1,54.3,0,
