"tag","coreID","sp","1870","1871","1872","1873","1874","1875","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
52237,"52237A","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.79,4.493,4.069,4.635,4.529,3.691,1.557,2.254,3.023,3.214,2.883,2.716,1.943,2.132,1.669,2.567,2.775,1.077,2.015,1.461,1.469,1.515,2.05,2.697,2.184,1.622,1.425,0.693,1.5,1.318,0.959,0.929,0.611,1,1.367,1.354,2.144,2.624,3.495,2.914,2.692,2.774,2.872,2.315,2.016,1.426,2.64,0.448,0.769,1.568,0.825,1.154,1.662,1.914,0.539,0.764,1.228,1.416,2.535,2.897,1.53,1.749,1.996,2.844,2.575,1.33,1.296,1.7,2.772,1.199,0.533,2.001,0.392,0.362,0.267,0.421,0.855,0.86,1.087,1.298,1.789,3.542,NA,NA,NA,NA,NA,NA,NA,NA,NA
52237,"52237B","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.743,1.715,1.811,1.99,2.661,2.12,1.986,2.11,1.889,1.479,0.971,1.163,0.929,1.116,1.131,1.439,1.712,4.603,2.444,2.694,2.387,2.409,1.663,1.728,1.05,1.831,0.397,0.651,1.298,0.584,1.056,1.126,1.174,0.413,0.515,0.636,0.897,2.13,2.033,1.181,1.427,1.263,2.311,2.389,1.452,1.332,2.245,2.727,1.97,2.13,0.359,0.652,0.46,0.645,0.75,0.798,1.099,1.279,4.239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52246,"052246A","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.393,1.998,2.223,1.114,1.073,0.754,0.698,0.813,0.62,0.765,0.237,0.147,0.145,0.097,0.132,0.137,0.148,0.116,0.138,0.164,0.135,0.064,0.074,0.058,0.063,0.027,0.052,0.097,0.218,0.249,0.463,0.48,2.748,1.328,0.436,0.391,0.465,0.802,0.904,1.103,0.936,0.449,0.691,0.517,0.688,0.626,0.666,0.678,1.219,0.57,0.691,0.588,0.35,0.489,0.509,0.404,0.368,0.264,0.252,0.226,0.195,0.17,0.098,0.067,0.065,0.126,0.132,0.1,0.1,0.19,0.251,0.105,0.129,0.291,0.192,0.181,0.123,0.137,0.205,0.127,0.216,0.147,0.136,0.178,0.177,0.21,0.13,0.097,NA,NA,NA,NA,NA,NA,NA
52246,"052246B","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.768,0.863,0.322,0.136,0.464,0.806,1.551,0.783,0.733,0.596,0.716,0.759,0.429,0.519,0.262,0.12,0.155,0.105,0.14,0.092,0.146,0.112,0.102,0.07,0.08,0.051,0.055,0.083,0.094,0.122,0.27,0.234,0.306,0.678,1.974,0.584,0.536,0.524,0.423,0.479,0.442,0.586,0.581,0.296,0.28,0.259,0.972,1.019,0.603,0.164,0.243,0.317,0.227,0.312,0.227,0.222,0.195,0.081,0.172,0.11,0.141,0.135,0.122,0.1,0.085,0.148,0.122,0.118,0.141,0.078,0.118,0.094,0.071,0.1,0.072,0.046,0.113,0.14,0.172,0.174,0.171,0.131,0.102,0.127,0.125,0.153,0.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52388,"52388","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.819,1.995,0.592,0.505,0.483,0.147,0.516,0.881,1.248,0.954,1.09,1.191,0.915,1.372,1.817,1.232,1.274,2.061,1.234,1.186,0.906,1.092,0.915,0.885,0.701,0.713,0.759,0.81,0.869,0.766,0.5,1.001,0.805,0.904,1.195,1.088,0.925,0.437,0.525,0.838,1.075,1.022,0.264,0.552,0.511,0.353,0.228,0.299,0.314,0.254,0.187,0.841,0.965,0.619,0.348,0.3,0.349,0.482,0.428,0.294,0.327,0.259,0.107,0.428,0.485,0.237,0.234,0.22,0.174,0.183,0.159,0.08,0.106,0.057,0.047,0.098,0.132,0.108,0.107,0.091,0.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60083,"60083","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.735,1.374,1.778,1.508,1.076,0.775,0.63,0.879,1.156,1.227,1.767,1.333,1.487,1.124,0.825,0.404,0.894,0.632,0.939,0.648,1.278,0.535,0.871,0.465,0.268,0.263,0.203,0.123,0.199,0.166,0.209,0.247,0.643,0.924,0.343,0.285,0.217,0.278,0.149,0.093,0.176,0.148,0.524,0.688,0.526,0.368,0.22,0.498,0.745,0.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60125,"60125","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.173,0.188,0.152,0.205,0.199,0.235,0.207,0.273,0.367,0.168,0.234,0.237,0.371,0.414,0.385,0.451,0.215,0.315,0.393,0.323,0.405,0.365,0.43,0.378,0.16,0.085,0.109,0.091,0.076,0.123,0.114,0.154,0.141,0.098,0.086,0.102,0.083,0.076,0.092,0.099,0.064,0.14,0.091,0.033,0.095,0.193,0.304,0.092,0.368,0.422,0.531,0.171,0.102,0.066,0.18,0.22,0.192,0.173,0.121,0.092,0.18,0.133,0.104,0.071,0.159,0.145,0.113,0.073,0.114,0.081,0.103,0.076,0.088,0.079,0.074,0.096,0.088,0.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60130,"60130","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.605,1.497,0.783,0.799,1.067,0.634,1.039,1.426,0.996,1.094,1.227,1.06,1.071,0.889,0.727,0.61,0.489,0.485,0.551,0.51,0.794,1.012,0.933,0.629,0.046,0.171,0.189,0.158,0.166,0.198,0.095,0.057,0.129,0.064,0.078,0.055,0.135,0.171,0.399,0.232,0.215,0.231,0.202,0.177,0.272,0.265,0.259,0.204,0.389,0.329,0.245,0.187,0.312,0.293,0.412,0.27,0.384,0.504,0.773,0.489,0.563,0.325,0.642,0.626,0.775,0.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60287,"60287","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.104,0.772,0.5,0.125,0.594,0.593,0.634,1.035,0.936,1.704,1.612,1.434,1.18,1.144,1.517,1.777,1.494,1.475,1.149,0.656,1.057,1.715,2.014,2.311,1.947,2.377,2.264,1.9,1.787,1.441,1.232,1.414,1.133,1.333,1.6,1.216,0.972,0.748,0.943,1.555,1.449,1.279,1.278,2.062,2.24,1.715,2.373,1.653,1.291,1.572,1.385,1.8,0.992,1.379,1.603,1.287,1.315,1.166,1.122,1.086,1.496,1.985,2.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62144,"62144","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,1.729,1.226,1.328,0.722,0.816,0.412,1.018,1.066,1.657,1.423,1.049,2.475,1.661,2.15,2.487,2.221,3.009,1.443,2.031,1.707,1.483,1.798,2.215,2.289,2.418,2.69,2.979,2.255,2.662,2.738,0.772,2.356,1.764,3.039,2.932,2.973,2.796,4.061,3.22,2.706,1.785,1.067,1.52,1.373,2.172,1.655,1.879,1.729,1.705,1.93,1.492,1.263,0.712,0.612,0.44,0.605,1.111,0.991,1.921,1.761,1.584,1.343,1.355,1.334,0.919,0.957,1.509,0.873,0.619,0.943,1.059,0.965,0.712,1.128,1.378,1.206,0.768,1.148,1.561,0.941,0.816,1.736,1.28,1.968,1.741,1.103,1.04,0.8,0.952,1.428,1.472,1.217,1.037,1.191,0.786,0.605,0.744,0.648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62248,"62248","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.913,1.904,1.725,1.66,1.981,1.893,2.022,2.049,1.878,1.832,1.582,1.82,1.532,1.238,0.936,0.62,0.874,1.057,0.97,0.936,1.017,1.235,1.461,1.153,1.089,0.083,0.107,0.18,0.197,0.32,0.518,0.474,0.276,0.238,0.226,0.167,0.178,0.449,0.578,0.405,0.616,0.81,0.776,1.017,0.865,1.246,1.202,0.728,0.83,0.821,1.116,0.824,1.019,0.695,0.625,0.455,1.086,1.243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70433,"70433","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.299,2.371,1.712,1.853,1.187,2.423,2.101,2.762,3.109,1.706,1.931,1.18,0.86,1.7,1.534,1.615,0.962,0.723,1.023,0.628,0.966,1.062,0.771,1.386,1.835,1.305,2.332,2.452,2.371,1.586,1.415,1.78,0.622,0.414,0.44,0.555,0.974,1.502,1.85,1.653,2.926,4.776,4.035,3.402,2.411,2.216,2.648,2.128,1.664,1.467,1.094,0.975,0.657,0.877,1.234,1.1,1.547,1.085,1.587,1.422,1.648,2.048,2.681,1.704,2.214,1.389,1.081,1.766,1.176,0.89,0.887,1.062,1.072,1.13,0.994,1.372,1.896,1.411,1.811,2.978,2.365,2.231,1.613,1.316,1.056,0.906,0.964,1.329,1.004,1.266,1.581,1.169,1.462,1.235,1.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70469,"70469A","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.913,2.466,1.356,0.873,0.804,0.853,0.626,1.246,1.385,0.973,1.341,0.908,0.861,0.488,0.293,0.471,0.391,1.933,1.839,2.824,2.93,2.105,1.221,1.782,1.729,1.712,1.026,1.122,0.518,0.486,0.38,0.501,0.339,0.327,0.263,0.171,0.158,0.232,0.19,0.202,0.17,0.147,0.18,0.232,0.274,0.328,0.158,0.27,0.184,0.164,0.232,0.222,0.238,0.263,0.138,NA,NA,NA,NA,NA,NA,NA
70469,"70469B","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.942,2.88,2.204,1.199,1.1,0.516,0.874,1.31,1.161,1.238,0.489,0.578,0.177,0.242,0.463,1.115,0.529,2.347,2.223,2.712,1.14,1.25,1.6,2.52,1.165,1.094,0.404,0.516,0.344,0.801,0.194,0.194,0.281,0.803,0.282,0.164,0.211,0.217,0.197,0.212,0.195,0.138,0.183,0.103,0.129,0.135,0.124,0.13,0.159,0.176,0.14,0.119,0.097,0.121,0.117,NA,NA,NA,NA,NA,NA,NA
70602,"70602A","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.648,1.683,2.065,2.648,2.281,1.562,2.274,1.713,2.235,1.997,1.363,1.45,1.525,0.889,1.12,1.49,2.267,0.593,0.774,0.878,1.832,1.051,1.367,1.355,1.075,0.807,0.902,0.854,1.013,0.901,0.871,1.11,1.511,1.351,1.69,1.131,1.27,1.137,1.461,2.445,2.483,2.714,1.732,1.725,2.408,2.127,2.256,2.449,1.381,1.584,2.199,1.235,1.179,1.729,1.699,1.725,2.126,2.328,2.51,2.17,2.513,3.591,2.632,3.182,4.607,3.367,2.474,2.194,1.29,2.182,1.435,2.091,2.261,2.904,1.849,1.983,1.495,1.723,2.118,2.86,2.701,2.04,1.662,2.288,1.522,2.109,2.199,NA,NA,NA,NA,NA,NA,NA,NA,NA
70657,"70657B","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.458,2.192,3.115,1.713,1.767,1.467,2.52,0.814,0.842,1.002,1.659,1.608,1.769,2.326,3.376,1.752,1.523,1.162,1.584,1.171,1.512,1.782,1.838,1.471,1.482,1.303,1.04,1.053,2.105,2.45,2.171,1.03,1.499,1.731,1.721,2.321,2.762,2.06,1.707,1.949,1.71,1.406,1.824,1.582,1.711,1.383,2.087,2.036,2.539,2.124,4.179,3.545,3.6,5.403,3.468,3.763,3.666,3.25,3.051,1.9,3.153,3.517,2.527,1.529,1.757,1.55,1.64,1.531,2.701,2.415,2.112,2.368,1.985,1.734,1.416,1.802,NA,NA,NA,NA,NA,NA,NA,NA,NA
72212,"72212A","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.83,2.9,2.844,2.786,2.797,2.373,1.858,1.679,1.5,1.556,1.176,0.993,1.562,1.419,1.906,1.431,1.606,1.746,0.874,0.574,0.475,0.714,1.269,1.026,0.91,0.983,1.669,1.401,1.326,1.145,1.139,0.983,1.179,0.85,1.936,2.6,3.566,1.904,0.69,0.637,0.429,0.208,0.325,0.241,0.285,0.185,0.383,0.391,0.225,0.088,0.229,0.204,0.083,0.096,0.157,0.124,0.212,0.094,0.136,0.082,0.101,0.156,0.108,0.148,0.085,0.086,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72212,"72212B","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.585,0.768,0.551,1.376,1.806,2.174,1.452,1.965,0.974,1.156,1.819,1.312,1.066,1.183,1.385,1.429,2.136,2.03,1.978,2.406,1.746,1.523,1.215,1.236,1.164,1.042,0.981,1.674,1.42,2.085,1.546,1.733,1.598,0.707,0.611,0.388,0.614,0.486,1.055,1.034,1.148,1.004,1.921,1.447,1.23,0.919,1.078,0.901,1.363,1.036,1.827,2.419,2.667,1.586,0.554,0.463,0.446,0.148,0.188,0.194,0.218,0.181,0.295,0.357,0.228,0.101,0.126,0.172,0.122,0.142,0.13,0.156,0.125,0.165,0.126,0.153,0.15,0.093,0.057,0.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72345,"72345A","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.434,1.628,1.622,1.806,1.548,2.204,0.924,1.966,1.924,2.339,1.551,1.891,1.777,1.552,2.178,2.051,2.922,2.946,2.447,2.021,1.965,1.392,1.473,0.822,0.748,1.136,0.677,1.263,0.998,0.953,0.763,0.403,0.465,0.183,0.434,0.239,0.375,0.497,0.335,0.313,0.322,0.366,0.408,0.405,0.343,0.358,0.261,1.227,2.128,1.029,0.51,0.193,0.168,0.14,0.148,0.198,0.104,0.112,0.11,0.269,0.229,0.09,0.062,0.102,0.28,0.078,0.071,0.061,0.114,0.076,0.082,0.117,0.087,0.116,0.078,0.125,0.076,0.069,0.041,0.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72345,"72345B","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.605,0.963,2.256,1.946,0.843,1.031,1.444,1.284,1.455,1.874,1.376,1.806,1.412,1.757,1.495,1.5,2.002,1.243,2.098,1.867,3.462,2.955,2.934,2.315,1.722,1.14,1.756,2.081,1.417,1.313,0.685,0.718,1.083,1.485,0.86,0.855,0.805,0.398,0.144,0.283,0.287,0.609,0.641,0.189,0.176,0.255,0.272,0.627,0.593,0.437,0.432,0.171,1.15,0.755,0.35,0.313,0.372,0.208,0.237,0.254,0.303,0.146,0.157,0.224,0.151,0.281,0.212,0.18,0.131,0.235,0.044,0.051,0.052,0.098,0.065,0.07,0.085,0.07,0.098,0.047,0.061,0.044,0.058,0.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80248,"80248","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.323,0.237,0.227,0.247,0.324,0.496,0.574,0.596,0.655,0.978,0.583,0.476,0.406,0.264,0.555,0.755,0.531,0.63,0.88,0.61,0.586,0.475,0.69,0.37,0.165,0.293,0.096,0.312,0.35,0.565,0.142,0.04,0.396,0.863,0.589,0.348,0.272,0.214,0.326,0.534,0.704,0.867,0.861,0.486,0.27,0.278,0.235,0.238,0.516,0.329,0.274,0.215,0.292,0.301,0.175,0.137,0.221,0.238,0.256,0.117,0.225,0.3,0.395,0.468,0.38,0.309,0.206,0.221,0.353,0.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80282,"80282","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.111,2.734,2.732,1.889,1.497,1.909,1.58,1.454,0.59,0.371,0.326,0.17,0.307,0.348,0.172,0.624,0.692,1.045,0.901,0.731,0.892,0.953,0.866,0.918,0.981,0.251,0.145,0.304,0.366,0.347,0.552,0.461,0.259,0.229,0.359,0.291,0.162,0.209,0.155,0.158,0.282,0.267,0.272,0.461,0.249,0.303,0.543,0.413,0.322,0.243,0.498,0.35,0.189,0.498,0.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80304,"80304","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.884,1.428,3.244,2.017,1.451,1.956,1.809,1.876,1.999,0.979,1.804,0.83,0.816,1.813,1.127,1.888,0.993,0.969,1.434,1.146,1.486,1.602,1.123,1.634,1.693,0.135,1.16,0.207,1.702,2.011,1.902,0.078,1.377,1.077,2.97,1.614,2.068,2.935,0,3.401,2.642,2.684,1.432,0.059,0.83,1.595,1.662,2.087,1.221,2.55,1.601,1.929,1.903,1.105,1.17,1.066,0.746,0.396,0.504,1.057,0.561,0.799,0.689,0.911,0.628,1.458,1.271,1.529,0.75,1.064,0.921,1.059,1.034,0.879,1.067,1.333,1.22,1.181,1.326,0.783,2.098,0.957,1.386,1.529,1.388,1.068,1.584,0.948,0.919,0.921,1.139,1.296,0.942,0.919,0.993,1.066,0.522,1.24,1.292,1.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80641,"80641A","litu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.034,0.972,0.843,0.643,0.481,0.645,0.711,0.391,0.526,0.764,0.855,0.879,0.903,0.82,0.665,0.209,0.527,0.887,0.824,1.153,0.763,1.147,0.884,1.357,1.557,1.244,0.424,0.488,0.327,0.418,0.615,1.83,1.974,0.734,0.613,0.715,0.601,0.647,0.664,0.586,0.674,1.046,0.323,1.054,0.803,1.02,0.642,0.402,0.216,0.138,0.185,0.201,0.27,0.146,0.163,0.369,0.386,0.212,0.178,0.168,0.332,0.115,0.048,0.102,0.098,0.142,0.078,0.075,0.056,0.097,0.061,0.085,0.062,0.065,0.074,0.069,0.035,0.071,0.058,0.025,NA,NA,NA,NA,NA,NA,NA,NA
