quadrat,tag,stem,sp,lx,ly,codes.2013,dbh.2013,status.2015,status.2016,status. 2017,new.status,dbh.if.dead,perc.crown,crown.position,fad1,fad2,fad3,fad4,DF,liana.load,fraxinus.crown thinning,fraxinus.epicormic growth,EABF,DE.count,Old comments,2018 comments,cored,Date,surveyors
111,10621,1,cato,1.6,14.3,,568,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
111,10625,1,litu,11.2,12.8,,704.5,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
111,10626,1,caca,19.6,12.1,,106,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
111,10628,1,caca,20,17.2,,107,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
111,10629,1,cato,13.9,19.9,,260,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
111,10630,1,caca,8.9,19.4,,141,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
111,10631,1,cato,5.2,16.8,,284,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
111,10632,1,nysy,0.1,16.9,,135.5,A,A,AU,DS,133,2,I,F,K,,,,,,,,,,,,7/6/2018,Prestipino
112,10633,1,cato,1.9,0.4,,336,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
112,10636,1,quru,20,0.4,,385,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
112,10639,1,cato,10.8,8.2,,385,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
112,10642,1,fram,2.5,9.7,,766,A,A,A,A,,,I,,,,,,,1,0,W,,,,,7/6/2018,Prestipino
112,10643,1,fagr,0.6,13,,673,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
112,10644,1,cato,6.4,11.4,,301,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
112,10647,1,fagr,9.5,13.5,,153,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
112,10649,1,cato,18.7,13.5,,128,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
113,10575,1,fagr,6.6,3.6,,143,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
113,10576,1,fagr,8.6,0.2,,252,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
113,10578,1,fagr,20,1.4,,149,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
113,10580,1,caca,16.5,5,M,108,A,A,AU,DS,108,3,S,B,R,F,,,,,,,,did not properly senescence,,,7/6/2018,Prestipino
113,10581,1,quru,16.3,6.4,,785,A,A,A,A,,,,,,,,,,,,,,,Root rot & K,,7/6/2018,Prestipino
113,10583,1,fagr,6.1,9.7,,145,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
113,10587,1,litu,2.6,13,,965,A,A,A,A,,,,,,,,,,,,,,,lower bark balding,,7/6/2018,Prestipino
113,10589,1,caca,10.7,11.1,,100,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
113,10590,1,cagl,12.7,11.1,,235,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
113,10701,1,acru,18.3,19.7,,102,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
113,10704,1,cato,11.6,19.1,M,370,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
113,10704,2,cato,11.6,19.1,S,322,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
113,10705,1,caovl,3.8,17.4,,225,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
113,10706,1,fagr,1,19.8,,200,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
114,10653,1,caovl,5.8,4.1,,160.5,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
114,10657,1,cato,16.1,1.1,,274,A,A,DS,PD,286,2,I,U,I,,,,,,,,,,,,7/6/2018,Prestipino
114,10663,1,caovl,20,3.3,,277.5,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
114,10664,1,fagr,16.8,9.7,,148,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
114,10665,1,unk,13.4,8,DC,251.3999939,PD,PD,PD,PD,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
114,10666,1,qupr,13.1,9.5,DS,108.1999969,PD,PD,PD,PD,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
114,10667,1,fagr,11.6,7.5,,113,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
114,10668,1,cato,2.7,9,,324.5,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
114,10669,1,cagl,6.1,12.3,,793.5,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
114,10671,1,quru,6.2,14.5,,851,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
114,10673,1,fagr,2.4,18.9,,117,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
114,10674,1,fagr,7.1,15.3,,135,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
114,10675,1,fagr,12.1,11.5,,208,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
114,10677,1,cagl,17.7,16,,143,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
114,10678,1,litu,18.9,19.3,,647,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
115,10708,1,litu,9.1,1.1,,295,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
115,10710,1,cagl,18.5,1.1,,223,A,A,A,AU,,,,DF,,,,5,,,,,,,epicormics only,,7/6/2018,Prestipino
115,10711,1,fagr,20,0.6,,167,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
115,10712,1,litu,19.9,6.4,,690,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
115,10714,1,cagl,17.6,8.1,,203,A,A,A,A,,,,,,,,,,,,,,,,,7/6/2018,Prestipino
