"sp","quadrat","lx","ly","tag","stem","dbh.2018","codes.2018","status.2015","status.2016","status.2017","status.2018","new.status","codes.2013","dbh.2013","status..2017","dbh.if.dead","perc.crown","crown.position","fad1","fad2","fad3","fad4","DF","liana.load","fraxinus.crown.thinning","fraxinus.epicormic.growth","EABF","DE.count","Old.comments","X2019.comments","cored","Date","surveyors"
"fram",202,1,14.9,20137,1,775,"DS","A","A","AU","DS","","","","","","","","","","","","","","","","","","","","","",""
"caca",202,16.7,19,20139,1,236,"B;I","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",202,9.2,19.6,20140,1,216,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"tiam",202,12.3,15.8,20142,1,500,"L","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"nysy",202,12.3,15.4,20143,1,271,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"frni",203,0.9,4.1,20144,1,0,"DS","DS","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"acru",203,11.5,5.8,20151,1,0,"DS","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"acru",203,11.5,5.8,20151,2,0,"DS","DS","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"frni",203,18.4,0.4,20155,1,0,"DS","A","A","DS","PD","","","","","","","","","","","","","","","","","","","","","",""
"frni",203,18.4,0.4,20155,2,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"unk",203,17.2,12.1,20170,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"frni",203,18.3,16,20171,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"caca",203,18,19.1,20175,1,121,"B","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"frni",203,14.3,18.6,20178,1,0,"DC","No sampled","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"frni",203,9.8,19.2,20181,1,43,"M","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"frni",203,9.8,19.2,20181,2,49,"S","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"frni",203,9.8,19.2,20181,3,28,"S","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"frni",203,9.8,19.2,20181,4,20,"S","A","DN","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"acru",203,1.4,16.1,20182,1,381,"P","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"unk",204,15.4,11.9,20201,1,0,"DS","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"juni",204,15.4,13.3,20203,1,673,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"ceoc",204,13.3,9,20213,1,274,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","anthracnose/wilt","","","",""
"fram",204,8.1,9.7,20243,1,411,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fram",204,3,6.4,20251,1,73,"DS","No sampled","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"fram",204,2.9,9.2,20256,1,72,"DS","No sampled","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"ceoc",205,1.3,11.2,20302,1,280,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"unk",205,2.1,10.2,20308,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"fram",205,6.3,6.5,20331,1,0,"DS","A","A","A","AU","","","","","","","","","","","","","","","","","","","","","",""
"unk",205,10.3,5.3,20369,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"ulsp",205,11.2,5.5,20374,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"quru",205,14.7,2.6,20392,1,283,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","tag missing","","","",""
"unk",205,15.1,8.9,20393,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"ceoc",205,14.9,4.3,20395,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"ceoc",205,14.9,4.3,20395,2,0,"DC",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"ceoc",205,16.5,3.1,20396,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"ceoc",205,15,7.7,20398,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"fram",204,5.8,12.4,20404,1,0,"DS","A","A","AU","DS","","","","","","","","","","","","","","","","","","","","","",""
"unk",204,7.4,18.6,20422,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"fram",204,3.5,19.8,20432,1,0,"DS","A","AU","DS","PD","","","","","","","","","","","","","","","","","","","","","",""
"ulsp",204,1.9,18.5,20437,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"ceca",204,3.5,18.5,20438,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"unk",205,12,12.4,20454,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"juni",205,13,17.3,20462,1,528,"I","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"ulsp",205,14.3,18,20466,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"acne",205,2.8,16,20478,1,102,"M",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"ceoc",205,19.4,19.7,20498,1,256,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"ulru",206,11.7,0.4,20499,1,127,"NULL","A","A","AU","A","","","","","","","","","","","","","","","","","","","","","",""
"ulsp",206,10.3,2.4,20500,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"unk",206,8.9,2.3,20501,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"fram",206,6.2,5.2,20511,1,65,"NULL","No sampled","A","A","DS","","","","","","","","","","","","","","","","","","","","","",""
"caca",206,8.4,7.1,20514,1,108,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",206,8.2,7.8,20515,1,123,"L","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",206,8.8,8,20516,1,104,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"ceca",206,11.8,6.3,20519,1,210,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",206,2.1,12,20520,1,578,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caco",206,14.2,13.9,20523,1,232,"B","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"ceca",206,18.1,13.7,20524,1,120,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"ceca",206,19.9,14.5,20525,1,0,"DN","A","DC","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"ulsp",206,18.5,16.5,20527,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"caca",206,15,16.5,20529,1,134,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",206,8.6,17.3,20533,1,132,"M","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",206,8.6,17.3,20533,2,128,"S","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",206,8.6,17.3,20533,3,67,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"caca",206,8.6,17.3,20533,4,54,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"ulsp",206,5.6,16.2,20534,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"havi",206,5.8,20,20537,1,131,"M","A","A","A","A","","","","","","","","","","","","","","","","","","K","","","",""
"havi",206,5.8,20,20537,2,0,"DC;WR",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",206,5.8,20,20537,3,0,"DS;WR",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",206,5.8,20,20537,4,38,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",206,5.8,20,20537,5,30,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",206,5.8,20,20537,6,35,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",206,5.8,20,20537,7,0,"DN",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",206,5.8,20,20537,8,0,"DN",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",206,5.8,20,20537,9,30,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",206,5.8,20,20537,10,29,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",206,5.8,20,20537,11,0,"DN",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"litu",206,1.6,13.3,20539,1,449,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","tag swallowed","","","",""
"frni",206,0.6,17.8,20540,1,114,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",207,9.4,2.6,20542,1,116,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",207,3.2,3.4,20544,1,113,"NULL",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"ulru",207,5,2.9,20545,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"ulsp",207,1.9,0.1,20547,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"fram",207,3.5,6.2,20548,1,655,"DS","A","A","A","AU","","","","","","","","","","","","","","","","","","","","","",""
"ulru",207,1.6,5.6,20556,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"fagr",207,4.5,8.5,20557,1,276,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",207,5.2,9.9,20560,1,151,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"ulsp",207,8,9.2,20561,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"caca",207,14.1,8.9,20564,1,106,"M","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",207,14.1,8.9,20564,2,94,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"caca",207,14.1,8.9,20564,3,0,"DC",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"caca",207,14.1,8.9,20564,4,52,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"caca",207,14.1,8.9,20564,5,0,"DS;WR",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"caca",207,14.1,8.9,20564,6,0,"DS;WR",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"caca",207,14.1,8.9,20564,7,0,"DC",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"caca",207,14.1,8.9,20564,8,0,"DC",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"ulru",207,19.6,15.6,20570,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"ulru",207,15.6,13.6,20572,1,104,"NULL",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"ulsp",207,14.3,15.3,20573,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"caca",207,3.2,16,20579,1,132,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",207,11.4,19.1,20581,1,189,"M","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",207,11.4,19.1,20581,2,37,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"caca",207,16.2,19.9,20583,1,129,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"ulsp",207,7.5,19,20584,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"caca",208,2.4,3.7,20585,1,135,"M","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",208,2.4,3.7,20585,2,84,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"acru",208,7,1.7,20586,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"acru",208,7,1.7,20586,2,243,"I;M","A","A","AU","A","","","","","","","","","","","","","","","","","","R","","","",""
"litu",208,14.8,1.3,20587,1,1262,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"unk",208,15,2.8,20589,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"unk",208,19.2,0.5,20592,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"frni",208,18.4,4.2,20593,1,164,"NULL","A","A","A","AU","","","","","","","","","","","","","","","","","","epicormics alive","","","",""
"fram",208,15.3,11.3,20596,1,0,"DS","A","AU","DS","PD","","","","","","","","","","","","","","","","","","","","","",""
"chvi",208,12.8,11.9,20597,1,90,"P","No sampled","No sampled","No sampled","A","","","","","","","","","","","","","","","","","","leaning heavily","","","",""
"caco",208,10.7,6.6,20598,1,206,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","anthracnose/wilt","","","",""
"vipr",208,8,7.2,20600,1,123,"I;M","A","A","A","A","","","","","","","","","","","","","","","","","","tag missing","","","",""
"vipr",208,8,7.2,20600,2,0,"DC",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"vipr",208,8,7.2,20600,3,16,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"vipr",208,8,7.2,20600,4,11,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"caco",208,5.4,6.9,20601,1,105,"M","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caco",208,5.4,6.9,20601,2,16,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"qual",208,7.8,11.8,20602,1,343,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fram",208,6,12.8,20603,1,862,"NULL","A","A","A","AU","","","","","","","","","","","","","","","","","","","","","",""
"caca",208,0.4,15.6,20604,1,0,"DN","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caco",208,4.7,16.7,20605,1,0,"DS","A","A","DS","PD","","","","","","","","","","","","","","","","","","","","","",""
"caca",208,4.8,19.6,20607,1,111,"NULL",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"caca",208,8,20,20608,1,141,"M","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",208,8,20,20608,2,0,"DS;WR",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"unk",208,19.7,12.6,20610,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"caca",209,1.3,6.3,20614,1,0,"DC","A","A","AU","DC","","","","","","","","","","","","","","","","","","tag is correct; size???","","","",""
"ulsp",209,1.1,7,20615,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"litu",209,6.9,7.6,20617,1,883,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","lower bark blonding","","","",""
"cagl",209,7.3,3.9,20619,1,113,"NULL",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"fram",209,10.3,5.4,20621,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"caca",209,12,5.1,20622,1,142,"M","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",209,12,5.1,20622,2,18,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"caca",209,12,5.1,20622,3,0,"DC;WR",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"caca",209,12,5.1,20622,4,0,"DC",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"quru",209,16.1,4.9,20624,1,152,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"acru",209,17.2,5.6,20625,1,190,"M","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"acru",209,17.2,5.6,20625,2,32,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"litu",209,15.5,13.7,20626,1,736,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fagr",209,16,15.7,20627,1,245,"M","A","A","A","A","","","","","","","","","","","","","","","","","","wilt & LF","","","",""
"fagr",209,16,15.7,20627,2,17,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"fagr",209,16,15.7,20627,3,17,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"litu",209,19.8,19.5,20629,1,580,"A","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"havi",209,11.4,15.6,20631,1,105,"M","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"havi",209,11.4,15.6,20631,2,55,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",209,11.4,15.6,20631,3,51,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"havi",209,11.4,15.6,20631,4,18,"S",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"acru",209,7.2,18.1,20633,1,318,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"ulsp",209,2.6,13.4,20637,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"ulsp",209,2.6,13.4,20637,2,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"cofl",210,3.8,3.8,20638,1,121,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","no anthracnose","","","",""
"nysy",210,9.7,1.1,20639,1,188,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",210,19.8,3.2,20644,1,634,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"nysy",210,16.1,5.1,20646,1,120,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caco",210,13.7,7.5,20647,1,227,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",210,12,8,20648,1,105,"A;M",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"nysy",210,0.4,13.1,20651,1,179,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"unk",210,2.6,12.4,20653,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"tiam",210,2.6,16.2,20655,1,349,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","sp = TIAM","","","",""
"ulru",210,1.7,17.6,20656,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"caca",210,6.3,14.5,20657,1,105,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",210,7.9,15.8,20658,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"caca",210,10.2,13.2,20659,1,121,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qual",210,13.2,13.6,20661,1,724,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",210,15.4,14.5,20663,1,0,"DC","DS","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"nysy",210,16.7,11,20664,1,214,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",210,17.7,10.9,20665,1,100,"A;M",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"caco",210,18.5,1,20666,1,129,"DS","A","A","A","DS","","","","","","","","","","","","","","","","","","hickory bark beetle","","","",""
"caca",210,18.2,16.6,20668,1,0,"DN","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"caca",211,5.7,2.3,20669,1,181,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",211,11.9,2.1,20671,1,235,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"nysy",211,15.6,1.3,20674,1,212,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fram",211,19.7,4.7,20675,1,601,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",211,16.1,8.5,20676,1,567,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","tag missing","","","",""
"litu",211,14.4,6.7,20678,1,436,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","Crack but alive","","","",""
"caca",211,12.4,13.5,20681,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"caca",211,12.4,13.5,20681,2,0,"DC",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"caca",211,12.4,13.5,20681,3,0,"DC",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"litu",211,5.8,11.6,20682,1,501,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",211,3.8,13.2,20683,1,100,"NULL",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"fram",211,0.7,11.4,20684,1,63,"NULL","No sampled","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",211,0.6,16.5,20685,1,519,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",211,3.6,15.3,20686,1,162,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",211,3.8,17.9,20687,1,314,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fagr",211,16.1,19.8,20693,1,289,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"nysy",211,17.7,14,20696,1,305,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"unk",211,17.8,18,20698,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"cato",212,6.6,3.9,20701,1,449,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",212,8.3,1.6,20702,1,117,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",212,12.2,4.5,20703,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"cagl",212,18.2,3.8,20705,1,300,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"nysy",212,15.7,5.6,20708,1,142,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caovl",212,10.9,13.7,20709,1,265,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",212,6.4,6.9,20710,1,115,"NULL",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"litu",212,1.5,8.3,20712,1,930,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",212,0.5,16.1,20713,1,473,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",212,5.4,15.4,20714,1,106,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",212,6.5,15.7,20715,1,191,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quve",212,9,16.5,20716,1,0,"DS","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"caca",212,11.3,14,20718,1,104,"NULL",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"caca",212,12.6,13,20719,1,113,"A",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"fram",212,17.8,19.8,20727,1,174,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",212,13.9,19.6,20732,1,381,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",213,5.3,6.6,20734,1,394,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"ceca",213,4.9,1.1,20735,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"tiam",213,12.6,3.8,20737,1,180,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",213,11.2,2.8,20739,1,111,"A;B","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",213,12.4,3.9,20740,1,134,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",213,19.2,7.1,20747,1,161,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",213,19.5,9.2,20748,1,102,"NULL",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","",NA,"","","",""
"litu",213,9.7,11.4,20752,1,283,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",213,10.7,12.8,20754,1,284,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"quru",213,2.1,7.3,20755,1,565,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",213,1.7,4.8,20757,1,385,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",213,1.8,19.7,20759,1,130,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caco",213,8.7,15.8,20760,1,515,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"nysy",213,10.2,19.2,20761,1,234,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cagl",213,13.2,14.3,20763,1,403,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"fagr",213,15.7,15.3,20764,1,206,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caca",213,13.5,18.1,20765,1,99,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",213,16.5,19.8,20766,1,331,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"cato",213,17.6,18.8,20767,1,118,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",214,2.8,3.7,20769,1,251,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"litu",214,3.2,5.7,20770,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"litu",214,0.3,3,20773,1,0,"DC","A","A","A","A","","","","","","","","","","","","","","","","","","x= 19.8","","","",""
"litu",214,14.6,8.2,20776,1,670,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","lower bark balding","","","",""
"litu",214,9.8,8.2,20777,1,426,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"caovl",214,6.6,9.2,20779,1,321,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
"qupr",214,3.6,16.4,20782,1,0,"DC","PD","PD","PD","PD","","","","","","","","","","","","","","","","","","","","","",""
"cagl",214,9,10,20783,1,112,"NULL","A","A","A","A","","","","","","","","","","","","","","","","","","","","","",""
