tag,stemtag,sp,quadrat,biannual,cored,year.cored,dbh2008,dbh2013,dbh2018,crown.position
60059,1,cagl,603,0,1,2010-2011,523.1,545.4,,
60078,1,qual,604,0,1,2010-2011,575.9,626.8,,
60083,1,litu,604,0,1,2010-2011,187.3,192.9,,
60086,1,fagr,605,0,1,2010-2011,170.5,186.2,,
60111,1,fagr,605,0,1,2010-2011,410.2,435,,
60116,1,quru,606,0,1,2010-2011,367.9,391,,
60121,1,qual,606,0,1,2010-2011,683.2,709,,
60124,1,caovl,606,0,1,2010-2011,303.3,300,,
60125,1,litu,606,0,1,2010-2011,103,105,,
60129,1,fagr,606,0,1,2010-2011,146.8,159.9,,
60143,1,quru,607,0,1,2010-2011,267.6,288.7,,
60145,1,fagr,607,0,1,2010-2011,205.2,219.5,,
60161,1,qupr ,608,1,1,2010-2011,845.9,867,,
60172,1,cagl,609,0,1,2010-2011,254.6,264,,
60187,1,qupr,609,0,1,2010-2011,592.3,623.4,,
60210,1,qual,601,0,1,2010-2011,217.9,221.8,,
60252,1,cagl,604,0,1,2010-2011,188.7,204.8,,
60287,1,litu,605,0,1,2010-2011,434.3,454,,
60295,1,fagr,605,0,1,2010-2011,109.6,125.2,,
60315,1,qual,606,0,1,2010-2011,524.8,548,,
60331,1,qual,607,0,1,2010-2011,427.1,441,,
60333,1,qupr,607,0,1,2010-2011,361.2,385.1,,
60339,1,fagr,607,0,1,2010-2011,157.3,171.4,,
60345,1,quru,608,0,1,2010-2011,214.2,226.9,,
60348,1,qupr,608,0,1,2010-2011,559.7,588.3,,
60353,1,quru,608,0,1,2010-2011,396.8,418.1,,
60358,1,caovl,608,0,1,2010-2011,236.6,246.1,,
60377,1,qual,609,0,1,2010-2011,430.9,449,,
60386,1,cagl,609,0,1,2010-2011,262.4,292.5,,
60426,1,fagr,612,0,1,2010-2011,282.7,301.9,,
60456,1,caca ,614,1,0,NA,48.8,64.5,,
60457,1,caca ,614,1,0,NA,94.9,99.5,,
60458,1,fagr ,615,1,0,NA,244.9,269.5,,
60459,1,fagr ,615,1,0,NA,84.6,99.7,,
60462,1,fagr ,615,1,0,NA,185.9,209.5,,
60463,1,juni ,615,1,0,NA,459,468,,
60467,1,fagr,615,0,1,2010-2011,153.6,193.8,,
60468,1,caca ,615,1,0,NA,56.9,67.3,,
60469,1,cofl ,615,1,0,NA,69.7,70,,
60486,1,fagr,616,0,1,2010-2011,152.8,171.2,,
60507,1,qual,610,0,1,2016-2017,354.1,380,,
60522,1,quru,611,0,1,2010-2011,285.2,290.5,,
60549,1,quve,613,0,1,2010-2011,395.1,410,,
60550,1,quru,613,0,1,2010-2011,514.5,538.4,,
60562,1,fagr ,614,1,0,NA,106.2,124,,
60563,1,caca ,614,1,0,NA,80.8,87.5,,
60566,1,fagr ,614,1,0,NA,177.1,194.2,,
60567,1,litu ,614,1,0,NA,520.4,536.8,,
60568,1,caca ,614,1,0,NA,84.9,90.3,,
60569,1,caca ,614,1,0,NA,80.3,89.5,,
60571,1,caca ,614,1,0,NA,116.8,116,,
60573,1,tiam ,614,1,0,NA,240.3,258.5,,
60576,1,caca ,615,1,0,NA,83.7,95.1,,
60577,1,litu ,615,1,0,NA,529.9,546.2,,
60578,1,caca ,615,1,0,NA,72.3,78.5,,
60579,1,caca ,615,1,0,NA,73.8,76.1,,
60581,1,litu ,615,1,0,NA,651.2,685.1,,
60582,1,quru ,615,1,0,NA,282.1,285.1,,
60586,1,caca ,615,1,0,NA,60.9,62.5,,
60587,1,caca ,615,1,0,NA,61.9,70.5,,
60588,1,caco ,615,1,0,NA,284.7,292.3,,
62007,1,quve,617,0,1,2010-2011,354.3,468.7,,
62019,1,quru,617,0,1,2010-2011,695.6,736.9,,
62128,1,quru ,620,1,0,NA,826,831,,
62148,1,qual,620,0,1,2010-2011,349.1,349.8,,
62181,1,quve ,621,1,0,NA,1107,1118.5,,
62224,1,litu ,622,1,0,NA,1025.2,1040.5,,
62241,1,litu ,623,1,0,NA,914.9,928.5,,
62248,1,litu,623,0,1,2010-2011,215.2,226.2,,
62281,1,quru,624,0,1,2010-2011,769.8,817.2,,
62372,1,quru,628,0,1,2010-2011,510.8,549,,
